entidad,recaudo,acumulado,porcentaje
Municipio MORALES,1239023954.0,0.8912037206447286,0.00033316295438784313
Municipio LA TEBAIDA,1231761357.0,0.8915349307488384,0.00033121010410981834
MUNICIPIO DE ISTMINA,1229830738.0,0.8918656217259953,0.0003306909771568964
Municipio SANTA ROSA DEL SUR,1223448131.0,0.8921945964746661,0.0003289747486707952
Municipio PIENDAMO,1221621777.0,0.8925230801323516,0.00032848365768548075
MUNICIPIO DE BARANOA,1209756608.0,0.8928483733474749,0.00032529321512334204
MUNICIPIO DE LEBRIJA,1204548809.0,0.8931722662299452,0.00032389288247029144
Municipio CUMARIBO,1196587320.0,0.8934940183360504,0.0003217521061051508
Municipio CAICEDONIA,1194482171.0,0.8938152043855768,0.0003211860495265008
Municipio PRADERA,1191983164.0,0.8941357184734738,0.0003205140878969713
Municipio BELEN DE UMBRIA,1191693368.0,0.8944561546377026,0.00032043616422873386
Municipio SANTA FE DE ANTIOQUIA,1187805339.0,0.8947755453441545,0.0003193907064519057
Municipio AYAPEL,1180484000.0,0.8950929674051065,0.00031742206095200206
MUNICIPIO DE MELGAR,1176780590.0,0.8954093936507532,0.00031642624564679655
Municipio ARGELIA,1171981399.0,0.8957245294349468,0.00031513578419359404
Municipio EL TAMBO,1158866307.0,0.8960361386829636,0.00031160924801672496
Municipio VALENCIA,1154008568.0,0.8963464417264702,0.000310303043506586
Municipio PUERTO LOPEZ,1151947944.0,0.8966561906857902,0.00030974895931999203
Municipio CIRCASIA,1151925198.0,0.8969659335289051,0.00030974284311494527
MUNICIPIO DE MALAMBO,1148615415.0,0.8972747863996519,0.00030885287074669304
Municipio SAN JUAN NEPOMUCENO,1147067812.0,0.8975832231331753,0.0003084367335234901
MUNICIPIO DE AGUADAS,1143821351.0,0.8978907869210753,0.00030756378789998284
Municipio CHINU,1142996277.0,0.8981981288536265,0.00030734193255122936
Municipio VILLETA,1137760114.0,0.8985040628266875,0.00030593397306093504
MUNICIPIO DE SANTIAGO DE CALI,1133808025.0,0.8988089341167849,0.0003048712900974677
Municipio LA ESTRELLA,1125640193.7,0.899111609146836,0.00030267503005094933
Municipio LA JAGUA DE IBIRICO,1124247378.0,0.899413909660646,0.00030230051381013596
Municipio RESTREPO,1117893853.0,0.8997145017658714,0.00030059210522534355
Municipio QUINCHIA,1112270749.0,0.9000135818664777,0.0002990801006063674
Municipio ZONA BANANERA,1105869709.0,0.9003109407821218,0.00029735891564406703
Municipio ARAUQUITA,1104772335.0,0.9006080046232738,0.0002970638411519814
Municipio MAJAGUAL,1102631437.0,0.9009044927952465,0.0002964881719726889
MUNICIPIO DE MONTENEGRO,1098802238.0,0.9011999513283266,0.0002954585330801877
Municipio ISNOS,1098751790.0,0.9014953962963708,0.0002954449680440407
Municipio SAN RAFAEL,1092741668.0,0.9017892251939624,0.00029382889759174067
Municipio CAJIBIO,1091043226.0,0.9020825973950127,0.0002933722010502819
Municipio PUERTO COLOMBIA,1081341488.0,0.9023733608816114,0.00029076348659860243
MUNICIPIO DE CAJICA,1075463370.48,0.9026625437926344,0.00028918291102306186
Municipio EL PASO,1074460508.0,0.9029514570425056,0.0002889132498711504
Municipio DIBULLA,1070202498.0,0.9032392253498703,0.0002877683073647257
Municipio GUAMO,1069565094.0,0.9035268222647457,0.0002875969148754255
Municipio CARTAGENA DEL CHAIRA,1057191975.0,0.9038110921536442,0.00028426988889846663
Municipio AGUAZUL,1054537397.0,0.9040946482492005,0.00028355609555631386
Municipio CIMITARRA,1052346865.0,0.904377615329419,0.00028296708021851907
MUNICIPIO DE SAN JUAN DEL CESAR,1049934265.0,0.904659933682112,0.00028231835269298483
Municipio SAN PELAYO,1042218637.0,0.904940177368362,0.00028024368624998436
Municipio REMEDIOS,1034513217.0,0.9052183491330129,0.0002781717646509616
MUNICIPIO DE FLORIDA,1023587865.0,0.9054935831638627,0.00027523403084985453
Municipio EL ZULIA,1020592918.0,0.9057680118790546,0.00027442871519188543
MUNICIPIO MARIA LA BAJA,1017675563.0,0.9060416561424144,0.0002736442633597313
Municipio PAIPA,1011513322.0,0.9063136434318225,0.00027198728940811234
Municipio PUERTO LIBERTADOR,1011300596.0,0.9065855735210269,0.0002719300892043501
MUNICIPIO DE FRESNO,1006109336.0,0.906856107724774,0.000270534203747082
Municipio SAN PEDRO DE URABA,1005073203.0,0.9071263633212105,0.0002702555964366226
Municipio ROVIRA,1004924963.0,0.9073965790571779,0.00027021573596725955
Municipio BUENAVISTA,1004916429.0,0.9076667924984254,0.00027021344124757835
Municipio ARBOLETES,1004839345.0,0.907936985212444,0.00027019271401862276
Municipio PLANADAS,1000147854.0,0.9082059164246192,0.00026893121217517736
Municipio PUEBLO NUEVO,995517148.0,0.908473602479518,0.00026768605489885445
Municipio PIVIJAY,995081022.0,0.908741171263862,0.00026756878434393397
MUNICIPIO DE MARIQUITA,994281603.0,0.9090085250912675,0.00026735382740547125
Municipio CURUMANI,994123230.0,0.9092758363335265,0.00026731124225898967
Municipio TUCHIN,994063659.0,0.9095431315576525,0.0002672952241260942
MUNICIPIO DE SAN JOSE DEL GUAVIARE,984446645.0,0.9098078408488867,0.00026470929123409035
MUNICIPIO DE CALDAS,981044228.0,0.9100716352592614,0.0002637944103747495
MUNICIPIO DE ARAUQUITA,976158268.0,0.9103341158767403,0.0002624806174788449
MUNICIPIO DE ORITO,971279852.0,0.9105952847298403,0.0002611688531000806
Municipio SUCRE,966574113.0,0.9108551882499315,0.0002599035200911773
Municipio SAN VICENTE DE CHUCURI,966333193.0,0.9111150269886932,0.00025983873876171877
Municipio PATIA,963575522.0,0.911374124213286,0.0002590972245927443
Municipio ARACATACA,960449200.0,0.9116323807966058,0.0002582565833198092
Municipio CALAMAR,959156069.0,0.9118902896680489,0.0002579088714430697
Municipio TARAZA,956990943.0,0.9121476163556105,0.0002573266875615933
Municipio GALAPA,956804112.0,0.9124048928059125,0.0002572764503020712
Municipio BETULIA,949953923.0,0.9126603272989239,0.0002554344930114254
Municipio TIMBIO,946520802.0,0.9129148386550328,0.00025451135610883493
Municipio BARRANCAS,941636476.0,0.9131680366576144,0.00025319800258156864
Municipio SUPIA,940488292.0,0.913420925923329,0.0002528892657146292
Municipio CALDONO,939365955.0,0.9136735134022141,0.00025258747888514
MUNICIPIO DE SAN ANDRES DE SOTAVENTO,930742849.0,0.913923782201576,0.0002502687993618872
MUNICIPIO DE PIENDAMO,927439855.0,0.9141731628540737,0.0002493806524977263
Municipio SAN PABLO,926919823.0,0.9144224036744101,0.0002492408203363408
Municipio PUERTO TEJADA,925361805.0,0.9146712255570187,0.0002488218826086289
Municipio FONSECA,925262931.0,0.9149200208532535,0.000248795296234858
Municipio RETIRO,922186268.0,0.9151679888610963,0.0002479680078427114
Municipio de ACEVEDO,919995343.0,0.9154153677479269,0.0002473788868305746
MUNICIPIO DE LA UNION,915002091.0,0.9156614039919595,0.0002460362440326267
Municipio NECHI,913036811.0,0.9159069117889924,0.0002455077970329658
Municipio CONCORDIA,910525554.0,0.9161517443304755,0.00024483254148310646
